channel,tissue,status,timepoint,replicate,bias
cd11b,marrow,gl261,14,2,0.40
cd11b,marrow,gl261,14,3,0.40
cd11b,marrow,gl261,14,4,0.40
cd11b,marrow,gl261,14,5,0.40
cd11b,marrow,gl261,14,6,0.40
cd11b,marrow,gl261,14,7,0.40
cd11b,marrow,gl261,14,8,0.40
cd11b,marrow,gl261,30,1,0.40
cd11b,marrow,gl261,30,3,0.40
cd11b,marrow,gl261,30,6,0.40
cd11b,marrow,gl261,30,2,0.36
cd11b,marrow,gl261,30,4,0.36
cd11b,marrow,gl261,30,5,0.36
cd11b,marrow,gl261,30,7,0.36
cd11b,marrow,gl261,30,8,0.36
cd11b,marrow,naive,7,1,0.40
cd11b,marrow,naive,7,2,0.40
cd11b,marrow,naive,7,3,0.40
cd11b,marrow,naive,7,4,0.40
cd11b,marrow,naive,7,5,0.40
cd11b,marrow,naive,7,6,0.40
cd11b,marrow,naive,7,7,0.40
cd11b,marrow,naive,7,8,0.40
cd11b,marrow,naive,14,1,0.40
cd11b,marrow,naive,14,2,0.40
cd11b,marrow,naive,14,3,0.40
cd11b,marrow,naive,14,4,0.40
cd11b,marrow,naive,14,5,0.40
cd11b,marrow,naive,14,6,0.40
cd11b,marrow,naive,14,7,0.40
cd11b,marrow,naive,14,8,0.40
cd11b,marrow,naive,30,1,0.40
cd11b,marrow,naive,30,2,0.40
cd11b,marrow,naive,30,3,0.40
cd11b,marrow,naive,30,4,0.40
cd11b,marrow,naive,30,5,0.40
cd11b,marrow,naive,30,6,0.40
cd11b,marrow,naive,30,7,0.40
cd11b,marrow,naive,30,8,0.40
cd11b,nodes,gl261,7,1,0.40
cd11b,nodes,gl261,7,2,0.40
cd11b,nodes,gl261,7,3,0.40
cd11b,nodes,gl261,7,4,0.40
cd11b,nodes,gl261,7,5,0.40
cd11b,nodes,gl261,7,6,0.40
cd11b,nodes,gl261,7,7,0.40
cd11b,nodes,gl261,7,8,0.40
cd11b,nodes,gl261,14,1,0.40
cd11b,nodes,gl261,14,2,0.40
cd11b,nodes,gl261,14,3,0.40
cd11b,nodes,gl261,14,4,0.40
cd11b,nodes,gl261,14,5,0.40
cd11b,nodes,gl261,14,6,0.40
cd11b,nodes,gl261,14,7,0.40
cd11b,nodes,gl261,14,8,0.40
cd11b,nodes,gl261,30,1,0.40
cd11b,nodes,gl261,30,3,0.40
cd11b,nodes,gl261,30,6,0.40
cd11b,nodes,gl261,30,2,0.40
cd11b,nodes,gl261,30,4,0.40
cd11b,nodes,gl261,30,5,0.40
cd11b,nodes,gl261,30,7,0.40
cd11b,nodes,gl261,30,8,0.40
cd11b,nodes,naive,7,1,0.40
cd11b,nodes,naive,7,2,0.40
cd11b,nodes,naive,7,3,0.40
cd11b,nodes,naive,7,4,0.40
cd11b,nodes,naive,7,5,0.40
cd11b,nodes,naive,7,6,0.40
cd11b,nodes,naive,7,7,0.40
cd11b,nodes,naive,7,8,0.40
cd11b,nodes,naive,14,1,0.40
cd11b,nodes,naive,14,2,0.40
cd11b,nodes,naive,14,3,0.40
cd11b,nodes,naive,14,4,0.40
cd11b,nodes,naive,14,5,0.40
cd11b,nodes,naive,14,6,0.40
cd11b,nodes,naive,14,7,0.40
cd11b,nodes,naive,14,8,0.40
cd11b,nodes,naive,30,1,0.40
cd11b,nodes,naive,30,2,0.40
cd11b,nodes,naive,30,3,0.40
cd11b,nodes,naive,30,4,0.40
cd11b,nodes,naive,30,5,0.40
cd11b,nodes,naive,30,6,0.40
cd11b,nodes,naive,30,7,0.40
cd11b,nodes,naive,30,8,0.40
cd11b,spleen,gl261,7,1,0.40
cd11b,spleen,gl261,7,2,0.40
cd11b,spleen,gl261,7,3,0.40
cd11b,spleen,gl261,7,4,0.40
cd11b,spleen,gl261,7,5,0.40
cd11b,spleen,gl261,7,6,0.40
cd11b,spleen,gl261,7,7,0.40
cd11b,spleen,gl261,7,8,0.40
cd11b,spleen,gl261,14,1,0.40
cd11b,spleen,gl261,14,2,0.40
cd11b,spleen,gl261,14,3,0.40
cd11b,spleen,gl261,14,4,0.40
cd11b,spleen,gl261,14,5,0.40
cd11b,spleen,gl261,14,6,0.40
cd11b,spleen,gl261,14,7,0.40
cd11b,spleen,gl261,14,8,0.40
cd11b,spleen,gl261,30,1,0.40
cd11b,spleen,gl261,30,3,0.40
cd11b,spleen,gl261,30,6,0.40
cd11b,spleen,gl261,30,2,0.40
cd11b,spleen,gl261,30,4,0.40
cd11b,spleen,gl261,30,5,0.38
cd11b,spleen,gl261,30,7,0.40
cd11b,spleen,gl261,30,8,0.40
cd11b,spleen,naive,7,1,0.40
cd11b,spleen,naive,7,2,0.40
cd11b,spleen,naive,7,3,0.40
cd11b,spleen,naive,7,4,0.40
cd11b,spleen,naive,7,5,0.40
cd11b,spleen,naive,7,6,0.40
cd11b,spleen,naive,7,7,0.40
cd11b,spleen,naive,7,8,0.40
cd11b,spleen,naive,14,1,0.40
cd11b,spleen,naive,14,2,0.40
cd11b,spleen,naive,14,3,0.40
cd11b,spleen,naive,14,4,0.40
cd11b,spleen,naive,14,5,0.40
cd11b,spleen,naive,14,6,0.40
cd11b,spleen,naive,14,7,0.40
cd11b,spleen,naive,14,8,0.40
cd11b,spleen,naive,30,1,0.40
cd11b,spleen,naive,30,2,0.40
cd11b,spleen,naive,30,3,0.40
cd11b,spleen,naive,30,4,0.40
cd11b,spleen,naive,30,5,0.40
cd11b,spleen,naive,30,6,0.40
cd11b,spleen,naive,30,7,0.40
cd11b,spleen,naive,30,8,0.40
cd11b,thymus,gl261,7,1,0.40
cd11b,thymus,gl261,7,2,0.40
cd11b,thymus,gl261,7,3,0.40
cd11b,thymus,gl261,7,4,0.40
cd11b,thymus,gl261,7,5,0.40
cd11b,thymus,gl261,7,6,0.40
cd11b,thymus,gl261,7,7,0.40
cd11b,thymus,gl261,7,8,0.40
cd11b,thymus,gl261,14,1,0.40
cd11b,thymus,gl261,14,2,0.40
cd11b,thymus,gl261,14,3,0.40
cd11b,thymus,gl261,14,4,0.40
cd11b,thymus,gl261,14,5,0.40
cd11b,thymus,gl261,14,6,0.40
cd11b,thymus,gl261,14,7,0.40
cd11b,thymus,gl261,14,8,0.40
cd11b,thymus,gl261,30,1,0.40
cd11b,thymus,gl261,30,3,0.40
cd11b,thymus,gl261,30,6,0.40
cd11b,thymus,gl261,30,2,0.40
cd11b,thymus,gl261,30,4,0.40
cd11b,thymus,gl261,30,5,0.40
cd11b,thymus,gl261,30,7,0.40
cd11b,thymus,gl261,30,8,0.40
cd11b,thymus,naive,7,1,0.40
cd11b,thymus,naive,7,2,0.40
cd11b,thymus,naive,7,3,0.40
cd11b,thymus,naive,7,4,0.40
cd11b,thymus,naive,7,5,0.40
cd11b,thymus,naive,7,6,0.40
cd11b,thymus,naive,7,7,0.40
cd11b,thymus,naive,7,8,0.40
cd11b,thymus,naive,14,1,0.40
cd11b,thymus,naive,14,2,0.40
cd11b,thymus,naive,14,3,0.40
cd11b,thymus,naive,14,4,0.40
cd11b,thymus,naive,14,5,0.40
cd11b,thymus,naive,14,6,0.40
cd11b,thymus,naive,14,7,0.40
cd11b,thymus,naive,14,8,0.40
cd11b,thymus,naive,30,1,0.40
cd11b,thymus,naive,30,2,0.40
cd11b,thymus,naive,30,3,0.40
cd11b,thymus,naive,30,4,0.40
cd11b,thymus,naive,30,5,0.40
cd11b,thymus,naive,30,6,0.40
cd11b,thymus,naive,30,7,0.40
cd11b,thymus,naive,30,8,0.40
cd11c,blood,gl261,7,1,0.48
cd11c,blood,gl261,7,2,0.48
cd11c,blood,gl261,7,3,0.48
cd11c,blood,gl261,7,4,0.48
cd11c,blood,gl261,7,5,0.48
cd11c,blood,gl261,7,6,0.48
cd11c,blood,gl261,7,7,0.48
cd11c,blood,gl261,7,8,0.48
cd11c,blood,gl261,14,1,0.36
cd11c,blood,gl261,14,2,0.36
cd11c,blood,gl261,14,3,0.36
cd11c,blood,gl261,14,4,0.36
cd11c,blood,gl261,14,5,0.36
cd11c,blood,gl261,14,6,0.36
cd11c,blood,gl261,14,7,0.36
cd11c,blood,gl261,14,8,0.36
cd11c,blood,gl261,30,1,0.36
cd11c,blood,gl261,30,3,0.36
cd11c,blood,gl261,30,6,0.36
cd11c,blood,gl261,30,2,0.36
cd11c,blood,gl261,30,4,0.36
cd11c,blood,gl261,30,5,0.36
cd11c,blood,gl261,30,7,0.36
cd11c,blood,gl261,30,8,0.36
cd11c,blood,naive,7,1,0.48
cd11c,blood,naive,7,2,0.48
cd11c,blood,naive,7,3,0.48
cd11c,blood,naive,7,4,0.48
cd11c,blood,naive,7,5,0.48
cd11c,blood,naive,7,6,0.48
cd11c,blood,naive,7,7,0.48
cd11c,blood,naive,7,8,0.48
cd11c,blood,naive,14,1,0.36
cd11c,blood,naive,14,2,0.36
cd11c,blood,naive,14,3,0.36
cd11c,blood,naive,14,4,0.36
cd11c,blood,naive,14,5,0.36
cd11c,blood,naive,14,6,0.36
cd11c,blood,naive,14,7,0.36
cd11c,blood,naive,14,8,0.36
cd11c,blood,naive,30,1,0.36
cd11c,blood,naive,30,2,0.36
cd11c,blood,naive,30,3,0.36
cd11c,blood,naive,30,4,0.36
cd11c,blood,naive,30,5,0.36
cd11c,blood,naive,30,6,0.36
cd11c,blood,naive,30,7,0.36
cd11c,blood,naive,30,8,0.36
cd11c,marrow,gl261,7,1,0.44
cd11c,marrow,gl261,7,2,0.44
cd11c,marrow,gl261,7,3,0.44
cd11c,marrow,gl261,7,4,0.44
cd11c,marrow,gl261,7,5,0.44
cd11c,marrow,gl261,7,6,0.44
cd11c,marrow,gl261,7,7,0.44
cd11c,marrow,gl261,7,8,0.44
cd11c,marrow,gl261,14,1,0.33
